author,cook_category,cook_instructions,description,ingredient_amount,ingredient_name,picture_src,rating,recipe_title,tags,time_metric,time_num,url,yield_metric,yield_num
Melissa Clark,,"In a small heatproof bowl, whisk together egg and yolks. Set aside.---,Place chocolate, butter and vanilla extract in a food processor or blender but don’t turn on.---,In a medium pot, whisk together milk, cream, brown sugar, cocoa, cornstarch and salt until smooth. Bring to a full boil, whisking, and let bubble for 1 to 2 minutes to activate cornstarch. At that point, it will start to thicken, and when it does immediately pull the pot off the heat. (You don’t want to overboil the cornstarch, which can cause it to thin out again.)---,Pour a little of the hot cornstarch mixture into the eggs, stirring constantly to prevent them from curdling, then pour eggs back into the pan with the remaining cornstarch mixture. Cook over low heat, whisking constantly, until mixture just returns to a bare simmer (one bubble is plenty). Immediately pour into the food processor or blender. Run the machine until the pudding is very smooth (the hot milk mixture will melt the chocolate).---,Pour into individual bowls or teacups or 1 large decorative bowl and cover with plastic wrap. Refrigerate until firm and cold, at least 4 hours for individual servings and as many as 8 hours for 1 large bowl. Pudding can be made 3 days ahead. Serve with whipped cream or whipped crème fraîche, decorated with chocolate shavings and a pinch of sea salt, if you like.---","This rich, creamy confection crosses a classic, American, cornstarch-thickened chocolate pudding with a luxurious French egg-yolk-laden chocolate custard called pot de crème. It has a dense, satiny texture and a fudgelike flavor from the combination of bittersweet chocolate, cocoa powder and brown sugar. Make sure to serve it with either whipped cream or crème fraîche for a cool contrast; crème fraîche has the advantage of also adding tang.,
      ,
      ,. 
  ","1,6,2,1,2 ½,½,⅓,2,2,¼,,,","large egg, plus 2 yolks---,ounces/170 grams bittersweet chocolate, preferably 66 percent to 74 percent cacao, chopped---,tablespoons/30 grams unsalted butter, softened---,teaspoon/5 milliliters vanilla extract---,cups/590 milliliters whole milk---,cup/120 milliliters heavy cream---,cup/67 grams light or dark brown sugar---,tablespoons/15 grams unsweetened cocoa powder---,tablespoons/20 grams cornstarch---,teaspoon/2 grams fine sea salt---,Whipped cream or crème fraîche, for serving---,Chocolate shavings, for garnish (optional)---,Flaky sea salt, for garnish (optional)---",,5,Dark Chocolate Pudding,"Custards And Puddings,Bittersweet Chocolate,Cocoa Powder,Heavy Cream,Snack,Dessert","minutes,hours","20,4",https://cooking.nytimes.com/recipes/1017198-dark-chocolate-pudding,servings,8
Sam Sifton,,"Fill a large pot with salted water and set it over high heat to come to a boil. Plunge lobster into water and cover pot. Cook for 8 to 10 minutes, or until it is bright red. Check doneness by pulling an antenna; if it comes off without resistance, the lobster is done. Remove lobster to a bowl and allow to cool.---,Meanwhile, heat oven to 375 degrees, with a rack in the upper third of the oven. Use a tablespoon of butter to butter a 9-by-13-inch-square baking pan.---,In a blender, purée cottage cheese, milk, mustard, cayenne and nutmeg, and lightly season with salt and pepper. Transfer mixture to a large bowl, add grated cheese and uncooked pasta and stir well to combine. Pour into prepared pan, cover tightly with foil and bake for 30 minutes.---,Meanwhile, crack lobster claws and tail over the bowl and remove the meat, reserving all liquid that comes out of the lobster. Roughly chop lobster meat.---,Uncover baking pan, gently stir in lobster meat and up to 2 tablespoons of the reserved lobster juices, and dot with remaining tablespoon of butter. Bake, uncovered, for 30 minutes more, until browned on top. Let cool for 15 to 20 minutes before serving.---","This recipe for lobster mac and cheese, a variation on , that Julia Moskin published in The Times, is a rich and shockingly flavorful addition to any feast, and requires only a single lobster to serve six or eight. Or try serving it as a main course for a weeknight dinner.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ",",1 ½,2,1,2,1,,,1,½","Kosher salt and black pepper, to taste---,pound lobster---,tablespoons unsalted butter---,cup cottage cheese---,cups whole milk---,teaspoon dry mustard---,Pinch cayenne pepper---,Pinch freshly grated nutmeg---,pound sharp Cheddar cheese, grated---,pound macaroni or elbow pasta, uncooked---",https://static01.nyt.com/images/2019/01/11/dining/ss-lobster-macaroni-and-cheese/merlin_148333191_fe30b469-aa35-4be5-988d-bb7d6ce495ac-articleLarge.jpg,4,Lobster Mac and Cheese,"Casseroles,Cheddar,Lobster,Macaroni,Dinner,Main Course","hour,minutes","1,40",https://cooking.nytimes.com/recipes/1016959-lobster-mac-and-cheese,servings,"6,8"
Sarah Copeland,,"Heat oven to 500 degrees. Butter a shallow 1 1/2-quart shallow baking dish (square or round). Pour cream in the prepared pan and sprinkle the cubed butter over the top. Add any cooked meat or vegetables, if using. Crack the eggs around the pan and season with nutmeg, salt, and pepper.---,Bake until the whites are set and the yolks are still a bit runny, 8 to 10 minutes. Remove from the heat, sprinkle with herbs and more flaky salt, and serve immediately, piping hot, with toasted bread or English muffins and shallow bowls. Drizzle the cream over the top.---","The French long ago mastered eggs en cocotte —slightly coddled eggs baked at high heat with butter and cream, which thicken to a gravy as it cooks. There’s no finer way to enjoy an egg. To pull this off for a crowd, a large casserole dish coated with butter and partly filled with heavy cream acts as a bath in which to gently cook the eggs. To dress them up, add smoked salmon, a handful of kale or spinach leaves, thinly sliced ham, halved cherry tomatoes or sliced, cooked mushrooms to the mix before you crack in the eggs. Really anything goes here, but keep the accoutrements light and let the eggs take center stage. Finish with flaky sea salt (those large crystals melt on your tongue in just the right way) and any fresh herb you love.","2,1 ½,12 to 16,½,,,⅓,16","tablespoons butter, cut into small cubes, plus more for greasing the pan---,cups heavy cream or half-and-half---,eggs (depending on your crowd)---,teaspoon freshly grated nutmeg (optional)---,Flaky sea salt, such as Maldon---,Freshly ground black pepper---,cup chopped mixed herbs, such as mint, parsley, dill, basil and chives---,pieces of toast or 8 English muffins, halved and toasted---",https://static01.nyt.com/images/2018/11/16/dining/sc-baked-eggs/sc-baked-eggs-articleLarge-v2.jpg,4,Baked Eggs for a Crowd,"French,Casseroles,Egg,Heavy Cream,Breakfast,Brunch,Weekday,Main Course",minutes,15,https://cooking.nytimes.com/recipes/1019768-baked-eggs-for-a-crowd,servings,8
Colu Henry,,"Heat the oven to 350 degrees. Mix the yogurt and turmeric in a small bowl, season with salt and set aside. Toast the pitas on a sheet pan in the oven until they’re warmed through and beginning to crisp, about 10 to 12 minutes.---,Meanwhile, heat 1 tablespoon of olive oil in a 12-inch skillet over medium heat. Add the ginger, garlic and chile and cook until softened, about 1 to 2 minutes. Stir in the garam masala and cook until fragrant, about 30 seconds more. Begin adding in the spinach by the handful, tossing it frequently to encourage wilting. Gradually add more as it cooks down, about 6 to 8 minutes total. Season with salt.---,While the spinach cooks, heat the remaining 2 tablespoons oil in a nonstick skillet over medium heat. Crack the eggs into the skillet and season with salt and pepper. Cook until the undersides are crispy and the yolk is still runny, about 3 to 4 minutes.---,Spread the turmeric yogurt on the toasted pitas and top each with spinach and then a fried egg. Scatter cilantro over the top, if using, and serve.---","In this quick meal, sautéed spinach flecked with ginger, chile and garam masala are paired with eggs and used to top toasted pitas spread with turmeric yogurt. The pitas were chosen for their uniform size, but naan or flatbread would work equally well; you want something sturdy to stand up to the moisture of the yogurt and spinach. An olive oil-fried egg tops this dish, but if you prefer poached have at it — that runny yolk is a key element.","1,1,,4,3,1,2,1,1 ½,1,4,,1","cup full-fat Greek yogurt---,teaspoon ground turmeric---,Kosher salt---,(6- to 8-inch) round pitas---,tablespoons olive oil---,tablespoon finely chopped ginger---,garlic cloves, thinly sliced---,medium fresh chile, such as cayenne or Serrano, thinly sliced (or 1/2 teaspoon red-pepper flakes)---,teaspoons garam masala---,pound baby spinach---,large eggs---,Black pepper---,tablespoon roughly chopped cilantro (optional)---",https://static01.nyt.com/images/2018/11/01/dining/CH-IndianSpicedEgg-horizontal1/CH-IndianSpicedEgg-horizontal1-articleLarge-v2.jpg,5,Indian-Spiced Eggs With Spinach and Turmeric Yogurt,"Vegetables,Egg,Garam Masala,Greek Yogurt,Pita,Spinach,Turmeric,Brunch,Dinner,Lunch,Quick,Weekday,Weeknight,Main Course,Vegetarian",minutes,25,https://cooking.nytimes.com/recipes/1019702-indian-spiced-eggs-with-spinach-and-turmeric-yogurt,servings,4
Genevieve Ko,,"Beat the eggs with 1/2 teaspoon salt in a medium bowl.---,Heat a large cast-iron or nonstick skillet over medium heat. Put 3 tortillas in it and turn them until warm and pliable, 1 to 2 minutes. Stack on foil and wrap. Repeat with the remaining 3 tortillas, adding them to the same stack and wrapping to keep warm and soft.---,Increase the heat to medium-high. Add the oil and swirl to coat, then add the chips. Cook, stirring, until sizzling and browned in spots, about 30 seconds. Add the onion, poblano and 1 teaspoon salt. Cook, stirring, until the edges of the onion are just translucent but the vegetables are still crisp, about 2 minutes.---,Drizzle the egg over the chips and vegetables. Let stand for 15 seconds until just starting to set, then stir rapidly to scramble until just set but still wet, about 30 seconds to 1 minute. Sprinkle the cilantro on top.---,Remove from the heat and immediately divide among the warmed tortillas. Sprinkle with the cheese and top with the avocado and salsa. Serve immediately or wrap each taco in foil to eat out of hand.---","Tortilla chips in tacos may seem like overkill, but they’re not. Set into scrambled eggs that are loaded with onions and poblanos, they soften and enrich the mix while keeping some crispiness. A slice of avocado on top — along with melted cheese — adds a nice creaminess to the mix. These tacos work well with red or green salsa, so use your favorite. While these would impress at a weekend brunch, they also come together quickly on weekday mornings, and can be wrapped in foil to be eaten out of hand.","6,,6,2,1,½,1,¼,2,½,","large eggs---,Kosher salt---,corn tortillas---,tablespoons vegetable oil---,cup tortilla chips, broken if very large---,cup diced onion---,cup diced, seeded poblano pepper---,cup chopped cilantro---,ounces pepper jack cheese, grated (3/4 cup)---,avocado, pitted, peeled and sliced---,Salsa, for serving---",https://static01.nyt.com/images/2018/10/03/dining/gk-migas-tacos-horizontal/gk-migas-tacos-horizontal-articleLarge-v2.jpg,4,Migas Breakfast Tacos,"Mexican,Avocado,Cilantro,Egg,Pepper Jack Cheese,Poblano Pepper,Tortilla,Tortilla Chip,Breakfast,Brunch,Dinner,Lunch,Quick,Snack,Weekday,Main Course",minutes,20,https://cooking.nytimes.com/recipes/1019647-migas-breakfast-tacos,servings,"4,6"
David Tanis,,"Put 3 tablespoons olive oil in a cast-iron skillet over medium-high heat. Add peeled garlic cloves and let them sizzle until lightly browned, then remove. Add bread cubes, season with salt and pepper, lower heat to medium and gently fry until lightly browned and crisp, about 2 minutes. Remove bread and set aside to cool.---,Add chorizo and fry lightly. Add asparagus, season with salt and pepper, and stir-fry until cooked through but firm, 3 to 4 minutes. Add green onions and minced garlic and cook 1 minute more.---,Season eggs with salt, pepper and pimentón. Pour into pan and cook, stirring with a wooden spoon, just until soft and creamy, 2 to 3 minutes. Add parsley and serve immediately, topped with the fried bread cubes.---","In Spain, wild asparagus is very popular, and it’s a sure sign of spring. Because the variety of wild asparagus there can be a slightly bitter, cooks blanch it in boiling water before sautéing in olive oil. (In North America, both wild and cultivated asparagus are sweet, so this step is unnecessary here.) This dish features typical Spanish ingredients — garlic, chorizo and bread crumbs — incorporated into soft scrambled eggs, for a hearty breakfast, or a simple lunch or first course.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ",",2,2,,2,1,1,8,½,2","Olive oil---,peeled garlic cloves, plus 1/2 teaspoon minced garlic---,cups bread cubes, made with day-old bread, cut in 1/2-inch cubes---,Salt and pepper---,ounces diced Spanish chorizo---,bunch thin asparagus, about 1 1/2 pounds, cut in 1- to 2-inch lengths---,bunch green onions, chopped---,large eggs, beaten---,teaspoon pimentón---,tablespoons roughly chopped Italian parsley---",https://static01.nyt.com/images/2014/04/16/dining/16KITCH5/16KITCH5-articleLarge.jpg,5,Spanish Asparagus Revuelto,"Spanish,Asparagus,Chorizo,Egg,Breakfast,Brunch,Dinner,Lunch,Appetizer,Main Course,Spring",minutes,30,https://cooking.nytimes.com/recipes/1016240-spanish-asparagus-revuelto,servings,"4,6"
Melissa Clark,,"Melt 6 tablespoons butter in a large pot over medium heat. Add fennel, onion and 1/2 teaspoon salt. Toss to combine. Reduce heat to medium-low. Partly cover and cook, stirring occasionally, until vegetables are very tender, about 20 minutes. Stir in garlic and chile powder; cook 1 minute. Stir in Pernod and cook until almost completely evaporated, about 3 minutes.---,Pour in tomatoes, 1 1/2 cups water and the stock. Bring to a simmer and cook gently, uncovered, for 30 minutes. Season with 1 1/2 teaspoons salt and the black pepper. Purée soup in batches using a blender or immersion blender until smooth.---,Transfer soup back to pot over medium heat; simmer until slightly thickened, 5 to 10 minutes more. Scrape down sides and bottom of pot occasionally. Remove from heat and cover to keep warm.---,Heat oven to 350 degrees. Spread bread slices on a large baking sheet. Bake until light golden, about 10 minutes.---,Toast fennel seeds in a small skillet over medium heat until fragrant and lightly colored, 2 to 3 minutes. Melt in remaining 1 tablespoon butter.---,Adjust oven temperature to broil and position rack 6 inches from heat. Brush toasts with fennel-seed butter and top with Brie. Return to oven and broil until bubbly and golden, 1 to 3 minutes (check every minute or so to see that they are not burning). Ladle soup into bowls and top with a cheese crouton. Garnish with fennel fronds.---","The childhood pleasure of tomato soup with a side of grilled cheese had been enshrined in my mind since I’d last had it, decades ago. A tart, bright tomato soup and a crispy sandwich with an oozing interior: no wonder they are an iconic match. This recipe, spiked with fennel and Pernod, is livelier and more sophisticated than your usual tomato soup. It has a more complex flavor, too, with the fennel bulb adding a pronounced sweetness, along with a very gentle licorice flavor brought out by the Pernod. Serve with slim croutons seasoned with fennel seeds and topped with Brie. (Here's a helpful tutorial on ,.),
      ,
      ,. 
  ","7,2,1,2,4,½,3,2,1,1,6,1,3","tablespoons unsalted butter---,medium fennel bulbs, cleaned and thinly sliced, fronds chopped and reserved---,large onion, halved, peeled and thinly sliced---,teaspoons coarse kosher salt---,garlic cloves, finely chopped---,teaspoon chile powder---,tablespoons Pernod---,28-ounce packages or cans chopped tomatoes packed in purée (such as Pomì)---,cup chicken stock---,teaspoon black pepper---,baguette slices---,teaspoon fennel seeds---,ounces Brie, thinly sliced---",https://static01.nyt.com/images/2017/03/03/dining/03TOMATOSOUP/03TOMATOSOUP-articleLarge.jpg,5,Tomato-Fennel Soup With Brie Toasts,"Soups And Stews,Brie,Canned Tomato,Fennel,Dinner,Main Course",minutes,90,https://cooking.nytimes.com/recipes/1014646-tomato-fennel-soup-with-brie-toasts,servings,6
Martha Rose Shulman,,"Preheat the broiler. Line 1 to 2 baking sheets (as needed) with foil and place the tomatoes on the foil. One baking sheet at a time, place the tomatoes under the broiler at the highest rack setting (about 2 to 3 inches from the heat). Turn when the tomatoes have charred on one side, which could take anywhere from 2 to 6 minutes, depending on your broiler, so watch carefully. Repeat on the other side. Remove from the heat and tip the tomatoes and any juice on the baking sheet into a large bowl. When they are cool enough to handle, peel, core, and chop coarsely.---,Heat the oil in a large, heavy soup pot or Dutch oven over medium heat and add the onion. Cook, stirring, until tender, about 5 minutes, and add the garlic. Cook, stirring, for another minute, until the garlic is fragrant, and stir in the tomatoes, sugar, bread, basil, parsley, thyme, and 2 teaspoons salt. Cook, stirring often, until the tomatoes have cooked down and the mixture is thick and beginning to adhere to the bottom of the pot, about 20 minutes. Adjust salt, add pepper, and remove from the heat.---,Using an immersion blender, or in batches in a blender or food processor (place a towel over the blender lid to prevent hot soup from splashing out), blend the soup until smooth. Put through a medium strainer into a bowl. Rinse out the blender or food processor with the water and add to the puree (or just add to the puree if you used an immersion blender).---,Return the strained soup to the pot and bring to a simmer. Simmer, stirring often for 15 minutes, or until thick and fragrant. Taste and adjust salt. Serve, garnished, if you wish, with a sprinkling of fleur de sel and slivered basil, and a few garlic croutons.---","Roasting intensifies the flavor of tomatoes, especially when your summer harvest is sweet and delicious to begin with. This rich-tasting bread-thickened soup will please vegetarians and vegans, and meat eaters too!,
      ,
      ,. 
  ,
                      ,
                      ,
                    ","4,1,1,2,¼,2,2,,2,,,,","pounds ripe tomatoes---,tablespoon extra virgin olive oil---,small onion, chopped---,plump garlic cloves, minced---,teaspoon sugar---,ounces country bread (1 thick slice), lightly toasted---,sprigs each basil, parsley, and thyme---,Salt and freshly ground pepper---,cups water---,For garnish (optional)---,Fleur de sel---,Garlic croutons (thin slices of country bread or baguette, toasted, rubbed with garlic, drizzled with a little bit of olive oil and broken or cut into small pieces)---,Slivered basil leaves---",https://static01.nyt.com/images/2008/07/25/health/nutrition/25recipehealth.ready/25recipehealth.ready-articleLarge-v2.jpg,4,Roasted Tomato Soup,"Mediterranean,Low Fat,Vegetarian",hour,1,https://cooking.nytimes.com/recipes/1016412-roasted-tomato-soup,Serves,4
Julia Moskin,,"Heat oil in a large heavy pot over medium-high heat. Add onion and cook, stirring, until softened. Add garlic, cumin and paprika, and cook 1 minute, stirring. Add tomatoes, 1 quart water, tomato paste, cilantro and 2 teaspoons salt. Bring to a simmer, cover, and simmer 30 minutes.---,Turn off heat, remove and discard cilantro, and blend with hand blender until smooth. Season to taste with salt, pepper, lime juice and cayenne. Serve hot or cold, with spoonful of yogurt in each bowl (if using) and sprinkled with cilantro leaves.---",,"3,1,2,1,2,1,4,2,,,,","tablespoons olive oil---,large onion, chopped---,garlic cloves, minced---,tablespoon ground cumin---,teaspoons paprika---,large can plum tomatoes (about 28 ounces), with juice---,tablespoons tomato paste---,bunches cilantro, washed and tied with kitchen twine (set aside 2 tablespoons leaves for garnish)---,Salt and freshly ground black pepper---,Juice of 1 or 2 limes---,Cayenne---,Yogurt, preferably thick Greek style, for garnish (optional)---",,5,Tomato Cilantro Soup,"Italian,Project,Cilantro,Olive Oil,Tomato,Dinner,Appetizer,Fall",minutes,45,https://cooking.nytimes.com/recipes/9061-tomato-cilantro-soup,servings,8
Sam Sifton,Easy,"Heat olive oil in a large sauté pan set over medium-high heat until it shimmers. Add garlic, and cook until soft.---,Add kale to the pan, turn the heat to high and add the stock. Use a spoon to toss the greens in the oil
and stock, then cover and cook for approximately 5 to 7 minutes, until it is soft and wilted, but still quite
green. Remove cover and continue to cook, stirring occasionally until all the liquid has evaporated, another 1 to 2 minutes. Season to taste with salt and peppers, add vinegar and toss to combine.---","This is a technique that elevates basic sauteed greens into something even more savory and tender.,
      ,
      ,. 
  ","¼,3,1,½,,2","cup extra-virgin olive oil---,cloves garlic, peeled and sliced---,large bunch kale, stemmed, with leaves coarsely chopped---,cup vegetable stock, white wine or water---,Kosher salt, freshly ground black pepper and red-pepper flakes to taste---,tablespoons red-wine vinegar---",https://static01.nyt.com/images/2015/10/30/dining/30COOKING-KALE1/30COOKING-KALE1-articleLarge.jpg,5,Sautéed Kale,"Kale,Easy,Quick,Weekday,Side Dish,Dairy Free,Vegan,Vegetarian",minutes,15,https://cooking.nytimes.com/recipes/12874-sauteed-kale,servings,4
