author,cook_category,cook_instructions,description,ingredient_amount,ingredient_name,num_ratings,picture_src,rating,recipe_title,tags,time,url,yield_
Martha Rose Shulman,Healthy,"Prepare a hot grill. If you wish, marinate the eggplant slices in a vinaigrette dressing for 15 minutes before grilling (this is an optional step). Oil the hot grill rack with olive oil, either by brushing with a grill brush or by dipping a folded wad of paper towels in olive oil and using tongs to rub the rack with it. Brush the eggplant slices lightly with olive oil and season with salt. Place on the hot grill, not quite directly over the hottest heat, and grill for about 5 minutes, until charred. Turn the pieces over and grill for another 5 minutes. If they are getting too black too quickly, move away from the direct heat. They need to cook long enough so that they’re charred on the outside and creamy and soft in the middle. Remove from the heat and cut into bite-size wedges. Set aside.,Place a round of dough on a lightly dusted baker’s peel or rimless baking sheet. Slide the pizza dough from the peel or baking sheet onto the grill rack. If the dough has just come from the freezer and is easy to handle, you can just place it on the rack without bothering with the peel. Close the lid of the grill – the vents should be closed —-- and set the timer for 2 minutes.,Lift up the grill lid. The surface of the dough should display some big air bubbles. Using tongs, lift the dough to see if it is evenly browning on the bottom. Rotate the dough to assure even browning. Keep it on the grill, moving it around as necessary, until it is nicely browned, with grill marks. Watch closely so that it doesn’t burn. When it is nicely browned on the bottom (it may be blackened in spots), use tongs or a spatula to slide the dough onto the baking sheet or peel, and remove from the grill.  Cover the grill again.,Make sure that there is still some flour on the peel or baking sheet and flip the dough over so that the uncooked side is now on the bottom. Brush the top lightly with oil, then top with a thin layer of marinara sauce (no more than 1/4¼  cup). Arrange eggplant pieces and cherry tomatoes, cut side up or down, on top of the marinara sauce. Sprinkle with hot red pepper flakes and thyme or oregano. Season with salt and pepper if desired. Dot with feta or mozzarella or sprinkle with Parmesan. Drizzle on a little more olive oil.,Slide the pizza back onto the grill. If using a gas grill, reduce the heat to medium-high. Close the lid and cook for 2 to 3 more minutes, until the bottom is brown. Open the grill and check the pizza; the top should be hot. If you feel that it needs more time but the bottom is getting too dark, move the pizza to a cooler part of the grill and close the top. Use a spatula or tongs to remove the pizza to a cutting board. Cut into wedges and serve. Repeat with the other two crusts.","The grilled eggplant slices are equally good on their own, or use them instead of crusts for “eggplant pizzas” (see variation below). The slices have to be thick, so that you get a creamy interior with a charred exterior. If they’re too thin, they’ll just burn.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ","1,,,,3,,1,,1,3,1","large or 2 long Asian eggplants, cut into rounds 3/4¾ -inch thick rounds---,Vinaigrette dressing---,Extra virgin olive oil (about 3 tablespoons)---,Salt---,10-inch pizza crusts---,---,3/4¾ cup marinara sauce---,box cherry tomatoes, cut in half along the equator---,Hot red pepper flakes---,tablespoon fresh thyme leaves or dried oregano---,ounces crumbled feta, 2 ounces freshly grated Parmesan, or 5 ounces mozzarella, shredded if fresh, sliced if low-moisture---,bunch fresh basil, torn into pieces or cut into wide strips if the leaves are big---",29,https://static01.nyt.com/images/2013/07/02/science/03recipehealth/03recipehealth-articleLarge.jpg,4,Grilled Pizza With Grilled Eggplant and Cherry Tomatoes,"Pizza And Calzones,Cherry Tomato,Eggplant,Pizza Crust,Main Course,Halal,Healthy,High Fiber,Kosher,Nut Free,Vegetarian",40 minutes,https://cooking.nytimes.com/recipes/1014840-grilled-pizza-with-grilled-eggplant-and-cherry-tomatoes,3 10-inch pizzas
Mark Bittman,Easy,"Prepare a grill, with heat medium-high and rack about 4 inches from the fire. Put corn on grill and cook until kernels begin to char, about 5 minutes, then turn. Continue cooking and turning until all sides are slightly blackened.,Mix together mayonnaise, lime juice, chili powder and some salt and pepper in a small bowl. Taste and adjust seasoning, adding more lime juice or chili powder if you like. Serve corn with chili-lime mayo.","Not only is this recipe very easy, it results in the kind of deep flavor associated with the crunchy street corn of Mexico. In many parts of Mexico, though, that crunchiness is highlighted with a creamy chile-lime sauce. This is more unusual than the tried, true and unbeatable butter-salt-and-pepper combination, and only slightly more complicated. Just mix together mayonnaise, freshly squeezed lime juice, chile powder, salt and pepper. It’s pretty authentic, and a combination that brings out the grilled flavor, and balances the sweetness of fresh corn perfectly.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ","4,2,1 to 2,¼,,","ears of corn, husked---,tablespoons mayonnaise---,tablespoons freshly squeezed lime juice, or to taste---,teaspoon chili powder, or to taste---,Salt---,freshly ground black pepper---",426,,5,"Grilled Corn, Mexican Style","Mexican,Corn,Mayonnaise,Easy,Quick,Side Dish,Summer,Gluten Free,Vegetarian",20 minutes,https://cooking.nytimes.com/recipes/1013216-grilled-corn-mexican-style,4 servings
Melissa Clark,Easy,"Place dill, mint, parsley, basil, garlic, scallions, lemon juice and salt in a food processor and process until finely chopped.,With motor running, drizzle in the olive oil until incorporated. Add feta and process until smooth; pulse in yogurt. Taste dip and add more salt, if desired. If you like a creamier, richer dip, add mayonnaise and pulse to combine.,Serve dip immediately with vegetables or pita chips or cover and store in refrigerator for up to 3 days.","This Greek goddess dip is stunningly verdant and has a bright herby flavor. The Greek strain in this dressing comes from using dill in place of watercress. Make it and watch it do a disappearing act on vegetables, pita chips or whatever conduit you can dream up.,
      ,
      ,. 
  ","½,½,½,⅓,2,2,1 ½,,½,½,½,¼,","cup packed fresh dill---,cup packed fresh mint---,cup packed fresh parsley---,cup packed fresh basil---,garlic cloves, chopped---,scallions, white and green parts, sliced---,tablespoons freshly squeezed lemon juice---,Pinch kosher salt, more to taste---,cup extra virgin olive oil---,cup crumbled feta cheese---,cup Greek yogurt---,cup mayonnaise, optional---,Raw chopped vegetables or pita chips, for serving---",1335,https://static01.nyt.com/images/2014/04/08/dining/goddessdip/goddessdip-articleLarge-v4.jpg,5,Greek Goddess Dip,"Condiments,Dips And Spreads,Easy,Quick,Gluten Free",5 minutes,https://cooking.nytimes.com/recipes/1013024-greek-goddess-dip,4 to 6 servings
Melissa Clark,,"Trim bok choy and separate dark green tops from white stems; leave tops whole and thinly slice stems. Peel ginger and finely chop half of it. Slice remaining ginger into thin matchsticks.,Bring a large pot of salted water to a boil. Add noodles and cook according to package instructions. Drain and run under cool water; drain again.,Heat 1 tablespoon peanut oil in a large skillet over medium-high heat. Add pork and cook, breaking up with a fork, until golden and cooked through, about 10 minutes. Season with salt, 1 1/2 tablespoons soy sauce and 1/2 tablespoon rice wine vinegar. Use a slotted spoon to transfer meat to a bowl.,Add remaining 1 tablespoon oil to skillet. Stir in half the scallions, the finely chopped ginger, the garlic and the chile. Cook until fragrant, about 1 minute. Add bok choy stems and a pinch of salt. Cook until bok choy is almost tender, about 2 minutes. Toss in leaves and return pork to skillet.,Toss noodles, remaining 1/4 cup soy sauce and 1 1/2 tablespoons rice vinegar into the pan. Cook until just warmed through.,Transfer to a large bowl and toss with remaining scallions, sesame seeds, sesame oil and herbs. In a small bowl, combine ginger matchsticks with just enough black vinegar to cover. Serve ginger mixture alongside noodles as a garnish.","Spicy, brawny and full of ginger and garlic, these pork noodles are a play on dumplings, but easier to make at home. If you don’t have the black vinegar to sprinkle on top of the sliced ginger, you can simply leave it out. Or try substituting balsamic, which is a bit sweeter, but has similar caramel notes to play off the ginger’s pungency. ,
      ,
      ,. 
  ","12,1,,8,2,1,¼,2,½,3,1,2,1 ½,,","ounces baby bok choy (3 or 4 small heads)---,ounce ginger root (1 fat 2-inch-thick knob)---,Kosher salt---,ounces rice noodles, not too thin---,tablespoons peanut or safflower oil---,pound lean ground pork---,cup plus 1 1/2 tablespoons soy sauce---,tablespoons rice wine vinegar---,cup thinly sliced scallions---,garlic cloves, finely chopped---,fresh Thai or habanero chile, seeded if desired, thinly sliced---,tablespoons toasted sesame seeds---,teaspoons sesame oil, more for drizzling---,Cilantro or torn basil, for serving---,Black vinegar, for serving---",1682,https://static01.nyt.com/images/2014/02/03/dining/dinner-porknoodles/dinner-porknoodles-articleLarge.jpg,5,Spicy Ginger Pork Noodles With Bok Choy,"Chinese,Noodle,Pork,Dinner,Main Course",45 minutes,https://cooking.nytimes.com/recipes/1016023-spicy-ginger-pork-noodles-with-bok-choy,4 servings
Sam Sifton,,"Prepare the pork: Place a sauté pan over medium-high heat. After a minute or so, swirl in the sesame oil and then the onions, stirring to combine. Sauté for about 5 minutes, then add the garlic and continue to cook until the onions are soft and becoming translucent. Turn off the heat, stir in the ginger and set aside.,Add the hoisin sauce and the fish sauce to the pan, and stir to combine, loosening the mixture with a little less than half a cup of water. Add sriracha sauce to taste.,Put a few spoonfuls of the sauce in the bottom of a slow cooker, then nestle the pork on top of it. Pour the remaining sauce over the top of the pork. Cover the slow cooker and cook on low for 5 to 7 hours, or until the pork shreds easily with a fork. Remove the pork from the slow cooker and allow to rest for a few minutes.,Meanwhile, make the slaw: Put the vinegar, ginger, sesame oil, neutral oil and sriracha sauce in a large bowl and whisk to combine. Add the cabbage, cucumbers, carrots and Asian pear and toss to combine.,Shred the pork with a pair of forks. Discard bones. Return the pulled pork to the slow cooker and stir to combine with the juices. Serve with the slaw and warmed tortillas, with the cilantro on the side.","This recipe uses a mixture of hoisin and fish sauces as braising liquid, and is a riff on an old Corinne Trang recipe for wok-fried rib tips. It results in a vaguely Vietnamese tangle of pulled pork that is best accompanied by a bright and crunchy slaw, and served on warm flour tortillas that recall the soft pliancy of Chinese bao. Cooking time will vary depending on the slow cooker you’re using, but generally the meat begins to fall apart nicely in the neighborhood of 5 to 7 hours. And of course you don't need a slow cooker. To make the dish in a covered dutch oven, cook in a 325-350 degree oven for 4 or 5 hours, or until the meat shreds easily from the bone.,
      ,
      ,. 
  ","1,1,8,2,½,¼,1,½,12 to 16,⅓,2,1,2,1,1,2,2,1,½","tablespoon sesame oil---,medium-size yellow onion, peeled and diced---,cloves garlic, peeled and minced---,tablespoons fresh ginger, peeled and minced---,cup hoisin sauce---,cup fish sauce---,tablespoon sriracha sauce---,bone-in pork shoulder, skin and fat removed, approximately 5 pounds---,flour tortillas, warmed---,cup rice vinegar---,teaspoons grated fresh ginger---,tablespoon sesame oil---,tablespoons neutral oil, like peanut or grapeseed---,teaspoon sriracha sauce, or to taste---,small green cabbage, cored and sliced thinly---,medium-size cucumbers, peeled and sliced into julienne---,medium-size carrots, peeled and sliced into julienne---,Asian pear, peeled, cored and sliced into julienne---,bunch fresh cilantro, rinsed, dried and roughly chopped---",1536,https://static01.nyt.com/images/2015/02/18/dining/18CROCKPOT5/18CROCKPOT5-articleLarge.jpg,5,Vaguely Vietnamese Slow Cooker Pork Tacos,"Vietnamese,Tacos,Cabbage,Flour Tortilla,Pork Shoulder,Dinner,Main Course","5 to 7 hours, largely unattended",https://cooking.nytimes.com/recipes/1017230-vaguely-vietnamese-slow-cooker-pork-tacos,6 to 8 servings
Sam Sifton,,"Put the olive oil in a large, heavy 
pan set over a medium-high flame, and 
heat until it begins to shimmer. Add 
onions, chorizo and garlic, stir to combine 
and cook until the onions have started 
to soften, approximately 10 minutes.,Add the ground beef, and allow it 
to brown, crumbling the meat with 
a fork as it does. Season to taste with 
salt and black pepper.,Add tomatoes, vinegar, cinnamon, 
cumin, bay leaves, cloves and nutmeg 
and stir to combine. Lower the heat, 
and let the stew simmer, covered, for 
approximately 30 minutes.,Uncover the pan, and add the raisins 
and the olives. Allow the stew to cook 
for another 15 minutes or so, then serve, 
accompanied by white rice.","Picadillo is one of the great dishes of the Cuban diaspora: a soft, fragrant stew of ground beef and tomatoes, with raisins added for sweetness and olives for salt. Versions of it exist across the Caribbean and into Latin America. This one combines ground beef with intensely seasoned dried Spanish chorizo in a sofrito of onions, garlic and tomatoes, and scents it with red-wine vinegar, cinnamon and cumin, along with bay leaves and pinches of ground cloves and nutmeg. For the olives you may experiment with fancy and plain, but rigorous testing here suggests the use of pimento-stuffed green olives is the best practice. A scattering of capers would be welcome as well.,
      ,
      ,. 
  ","2,2,2,4,1 ½,,4,2,1,2,2,,,⅔,⅔","tablespoons extra-virgin olive oil---,medium-size yellow onions, 
 peeled and chopped---,ounces dried chorizo, diced---,cloves garlic, peeled and minced---,pounds ground beef---,Kosher salt and freshly ground 
 black pepper---,ripe tomatoes, chopped, or 
 one 28-ounce can whole tomatoes, 
 drained and crushed---,tablespoons red-wine vinegar---,tablespoon ground cinnamon---,teaspoons ground cumin---,bay leaves---,Pinch of ground cloves---,Pinch of nutmeg---,cup raisins---,cup pitted stuffed olives.---",1542,https://static01.nyt.com/images/2014/09/21/magazine/21eat/21eat-articleLarge-v4.jpg,5,Picadillo,"Cuban,Beef,Chorizo,Olives,Sofrito",1 hour,https://cooking.nytimes.com/recipes/1016814-picadillo,6 servings
The New York Times,,"In a jar, stir together coffee and 1 1/2 cups cold water. Cover and let rest at room temperature overnight or 12 hours,Strain twice through a coffee filter, a fine-mesh sieve or a sieve lined with cheesecloth. In a tall glass filled with ice, mix equal parts coffee concentrate and water, or to taste. If desired, add milk.","Cold-brewed coffee is actually dirt simple to make at home using a Mason jar and a sieve. You just add water to coffee, stir, cover it and leave it out on the counter overnight. A quick two-step filtering the next day (strain the grounds through a sieve, and use a coffee filter to pick up silt), a dilution of the brew one-to-one with water, and you’re done. Except for the time it sits on the kitchen counter, the whole process takes about five minutes.,
      ,
      ,. 
  ","⅓,","cup ground coffee (medium-coarse grind is best)---,Milk (optional)---",1243,,5,Cold-Brewed Iced Coffee,"American,Coffee","5 minutes, plus 12 hours’ resting",https://cooking.nytimes.com/recipes/1017355-cold-brewed-iced-coffee,Two drinks
Regina Schrambling,,"For the curd, combine zest, juice, sugar and eggs in a heatproof bowl, and beat well. Add butter, and place over a saucepan full of simmering water. Cook, stirring constantly with a rubber spatula or wooden spoon, until mixture thickens into curd, about 5 minutes. Strain into a bowl, and press plastic wrap onto surface to keep skin from forming. Refrigerate until cool, at least 1 1/2 hours.,Heat oven to 350 degrees. Grease 9-inch spring-form pan with 1 tablespoon butter, and dust with 1 tablespoon flour, shaking out excess.,With an electric mixer, cream the remaining butter and 1 cup sugar together until light and fluffy. Sift together the remaining flour, baking powder and salt, and stir in. In a separate bowl, whisk eggs until they start to foam. Do not overbeat or the cake will be tough. Add eggs and ground almonds to batter, and mix well.,Scrape batter into the prepared pan. Drop 8 individual tablespoons lemon curd around perimeter of batter, leaving a 1-inch border, and taking care to space drops evenly. Drop 3 to 4 tablespoons curd into center of batter. Refrigerate remaining curd for another use. Sprinkle cake with toasted almonds and 1 to 2 tablespoons sugar, depending on taste.,Bake until cake is toasty brown on top and a toothpick inserted into cake (not curd) comes out clean, about 40 minutes. Let cool on rack 10 minutes, then remove sides of pan, and cool completely.,Whip cream with almond liqueur. Present cake at table, and offer whipped cream on the side.","This buttery almond cake with lemon curd baked inside is like the ultimate citrus tart, without the heartbreak of pie crust. It's fancy enough to be served as a dinner party dessert, yet substantial enough to be served with Sunday brunch. (Bonus: you'll have several tablespoons of lemon curd left over. It's delicious on toast or pancakes.),
      ,
      ,. 
  ",",¾,4,6,9,1,1,1,½,2,½,2,,1","Grated zest and juice of 2 lemons---,cup plus 2 tablespoons sugar---,extra-large eggs---,tablespoons unsalted butter, cubed---,tablespoons unsalted butter, softened---,cup plus 1 tablespoon flour---,cup plus 1 to 2 tablespoons sugar---,teaspoon baking powder---,teaspoon kosher salt---,extra-large eggs---,cup ground toasted almonds---,tablespoons toasted sliced almonds---,About 1/2 cup heavy cream for garnish---,tablespoon almond liqueur (optional)---",1579,https://static01.nyt.com/images/2015/10/15/dining/15COOKING-BUTTERCAKE2/15COOKING-BUTTERCAKE2-articleLarge-v2.jpg,5,Lemon-Almond Butter Cake,"Cakes,Almond,Cake,Lemon,Brunch,Snack,Dessert","2 hours 30 minutes, plus cooling time",https://cooking.nytimes.com/recipes/1017151-lemon-almond-butter-cake,8 servings
Melissa Clark,,"Heat oven to 350 degrees. Coarsely chop any extra-large chunks of peel in the marmalade. Grease a 9-by-5-inch loaf pan.,In the bowl of an electric mixer, beat together softened butter, sugar, lime zest and orange zest until light and fluffy, about 5 minutes. Beat in eggs, one at a time, until incorporated. Beat in 1/3 cup marmalade and the orange juice.,In a separate bowl, whisk together flour, baking powder and salt. Fold dry ingredients into wet until just combined.,Scrape batter into prepared pan. Bake until surface of cake is golden brown and a toothpick inserted in the center emerges clean, 50 to 55 minutes. Remove from oven and transfer pan to a wire rack. Cool 10 minutes; turn cake out of pan and place on rack right-side up. Place a rimmed baking sheet under rack to catch the glaze.,Heat remaining 1/3 cup marmalade in a small pot over low heat until melted; whisk in confectioners’ sugar and 1/2 tablespoon butter until smooth. Slather warm glaze over top of cake, allowing some to drizzle down the sides. Cool completely before slicing.","This beautiful, tender, citrus-scented loaf cake filled with bits of candied orange peel is everything you want with your afternoon tea. The key is finding the right marmalade; it needs to be the thick-cut (also known as coarse-cut) marmalade made with bitter oranges, which will be laden with big pieces of peel. Look for the British brands in the international section of your supermarket if the jam aisle lets you down. (And not give up and use the neon orange marmalade that's more like jelly.) Your reward is a fine-grained, not-too-sweet cake that will last for days well-wrapped and stored at room temperature (if you can manage not to eat it up all at once).,
      ,
      ,. 
  ","215,12,150,2,½,3,2,190,7,3,30","grams coarse-cut orange marmalade (2/3 cup), divided---,tablespoons unsalted butter, softened, plus 1/2 tablespoon for glaze, and more for greasing pan---,grams granulated sugar (3/4 cup)---,teaspoons grated lime zest---,teaspoon grated orange zest---,large eggs, at room temperature---,tablespoons fresh orange juice---,grams all-purpose flour (1 1/2 cups)---,grams baking powder (1 1/2 teaspoons)---,grams fine sea salt (3/4 teaspoon)---,grams confectioners’ sugar (4 tablespoons)---",550,,5,Orange Marmalade Cake,"Fresh Orange Juice,Marmalade,Dessert",1 1/2 hours,https://cooking.nytimes.com/recipes/1016043-orange-marmalade-cake,8 servings
Julia Moskin,,"Place a large roasting pan on a rack in the center of the oven. Fill the pan halfway with water. With the pan inside, heat the oven to 350 degrees. Butter an 8-inch square or round baking dish.,In a large bowl, whisk together the egg yolks, lemon zest, lemon juice and butter. In another bowl, stir together the sugar, flour and salt. Whisk half the flour mixture into the egg yolks, then half the milk. Whisk in remaining flour mixture, then remaining milk.,Whip the egg whites until soft peaks form, then gently fold them into the batter.,Pour batter into the buttered dish. Place the dish in the pan of water in the oven. Bake until the cake is set, about 45 minutes.","A moist lemon cake sits atop a delicate custard in this recipe, adapted from Ian Knauer’s book “The Farm.” The magic is in the cooking: Setting a 8-inch baking dish in a roasting pan filled halfway with water allows the custard to form while the top bakes. It’s an excellent party dish, warm and just out of the oven. But it’s equally as good out of the fridge, its flavors melded and mellowed.,
      ,
      ,. 
  ","4,1,⅓,1,1,½,½,1 ½","large eggs, separated---,teaspoon finely grated lemon zest---,cup lemon juice---,tablespoon unsalted butter, melted---,cup sugar---,cup all-purpose flour---,teaspoon kosher salt---,cups whole milk---",1426,https://static01.nyt.com/images/2014/03/28/dining/lemoncake-still/lemoncake-still-articleLarge.jpg,5,Lemon Pudding Cake,Dessert,1 hour,https://cooking.nytimes.com/recipes/12363-lemon-pudding-cake,6 to 8 servings
